Mechanic,"Social, MMO, RPG?",Definition,Examples,How it can be abused or broken,Add to gameplay?,Detract from gameplay?,Impact on other players in multiplayer games
Leveling Up/Player Progression,"MMO, Social, RPG","Increases players' power in the game, giving them more abilities or increasing the power of those abilities","Mario getting a 1 Up Mushroom, Pacman eating a Power Pellet, Link being able to access Gerudo Valley with hookshot",Players can grind their character to a high level and make subsequent parts of the game easier,"Gives player a sense of progression, lets player invest in character, adds to gameplay by offering different styles (if player can level up character in different ways)","Makes player feel not that powerful (thus not that exciting) at first, can make player too powerful (thus boring) at end","Can make other players feel useless when playing with a higer level character, makes high level character feel awesome when playing with low level character, can ruin game pacing when playing with high level character in lower level area"
Turns,"Social, MMO, RPG",Determines which player commits actions at that moment in game,"Pokemon battles, Fire Emblem skirmishes","Players can indefinitely wait on their turn, never having to progress further","Balances the game, provides time to make better choices","Breaks instantaneous action, slows gameplay",Allows other players time to make decisions
Gifting,"Social, MMO","Sending ""gifts"", e.g. objects and items to other players",Sending crops to neighbors in Farmville,Players can amass hordes of objects,Adds political and economical elements,"Players do not have to work to earn gifts, merely given for free",Can build a trading relationship between players
Catch-Up,RPG,Make progress towards victory more difficult the closer a player gets to it,Scaling enemies in a RPG so that no matter what level the player is the dungeons are still taxing ,"Players can go to areas they have previously fought characters at a lower level, which are now tougher, somehow","Keeps the game from becoming easy, adds to the sense of danger as any enemy can kill you","No sense of enemy scale as all enemies scale up or down (wolves will always be tough to beat even if they were the first enemeis the player fought), makes backtracking cumbersome",Can make an area seem just as difficult to a low and high level character 
Energy System,"Social, MMO",A resource that regulates the number of actions a player can perform ,"Energy system in Pioneer Trail, Farmville, Ravenwood Fair","In some games, the only means to acquire more energy is to spend real-world money on energy boosts","Monitors amount of time spent within game, prevents player from finishing entire game in one sitting",Players can only achieve so much within the limits of the energy system ,"A game-wide feature, all players experience it equally"
Helping,"Social, RPG, MMO",The game gives advice or assistance to the player,"Tutorials, NPC advice, NPC companions/pets, changing difficulty on-the-fly depending on player skill","Too much advice is annoying and makes the game less fun, and too much assistance makes the game lame and not challenging","Player feels less isolated, can add new elements like companions and buffs, allows for more difficult challenges by increasing player ability","Makes gameplay less-challenging, player feels as though he is doing less","Less dependence on other players, players who are attempting PvP may become frustrated if the game is too protecting of their prey"
Resource Management,"Social, RPG, MMO","Players giving percieved value to items, and deciding what to use, keep or stockpile","Players have a specific amount of gear they can carry, have to place items in a certain configuration to fight in a box",Players can stockpile items that break gameplay by giving them player too many boosts,Forces the player to think more tactically and utilize items when they are needed not all the time ,players may not experiment as they have to lose items to acquire new ones,gives a higher return of gifting items and of trading 
Classes,"RPG, MMO",A collection of skills and abilities that usually have some sort of thematic relationship with each other and determine what the player can do within the game.,"Fighters are sturdy but only use mundane weapons, mages can use magic and deal heavy damage but are squishy, priests can heal their teammates",A single class that is stronger/more versatile than the other class can become overpopular and result in resentment by other players of other classes.,"Provides a different experience, a playthrough with a frontline fighter may be more visceral and proactive, while a playthrough with a mage can be a more tactical affair. Can be used to create artificial challenges by limiting their class choices.","Classes that are too strict or limited can make players feel as though they were missing out on some part of the game, especially if there's no way to change classes","For games that use the Tank-DPS-Healer trinity, classes will define which players will play with which other players. Classes also serve as banners under which to rally in out-of-game communities (forums, conventions)."
Resource Collection,"Social, MMO, RPG",Different materials or elements that players use as economical elements,"Pioneer Trail food, Zelda rupees",Players can grind and collect vast amounts of resources  ,Provides economic elements,"Can become a metagame within itself, players trying collecting as many resources as possible",Sometimes used to trade with other players
Crafting,"Social, RPG, MMO","Creating weapons, armor, and other items from materials","World of Warcraft, Runescape","Could cause balancing issues, overpowered or overvalued items.","Allows players to use items that they created themselves, sense of accomplishment",Allows for vast amounts of items to be available within the game.,"Fosters trading, improvement, and social interaction between players."
Real-Time Combat,"Social, MMO, RPG","Enemy confrontation in constant real-time, as opposed to turn-based combat","Pioneer Trail snake conflicts, Zelda battles",Players can continuously confront enemies in order to gain experience and level up quicker,"Allows players to achieve a sense of accomplishment by defeating enemies, as well as rewarding them with resources, e.g. experience points, gold, etc.","Players are forced to think quicker as opposed to tactically, leads to players mashing one attack  ","When battling with other players, combat can be fast and chaotic as opposed to regulated turn-based"
Quests,"Social, RPG, MMO",Explicit objectives in games that provide some kind of useful reward upon completion,Collect 10 bear asses for 200g and 300 XP,Quest farming without proper checks can lead to more gold/XP than developers intended,Provides a general sense of direction or guidance for the player. Used to push the player along the designer's intended narrative path,"A single ""bread crumb trail"" of quests will bore the player. Completing repetitive quests is no different from simply grinding enemies",Group quests can encourage cooperation or competition against other groups. Quests determine where people frequent so large quest hubs can be come gathering places for players
Status,"Social, RPG, MMO",Ability to compare relative achievement against a systematic opponent,"High scores, timed challenges, percent completion, leaderboards, ladders","Emphasizing this can put off players less-concerned with things that score points, like Explorers. To counter this, ""points"" should be awarded for all types of gameplay","Quanitfies value of various challenges, creates a standard for parallel symmetric competition","Scores and number values can detract from the game itself, and can also lower the game's immersion factor","In multiplayer games, many players participate largely to earn in-game status, achievements, and perhaps make a name for themselves in the community. Status certainly adds to player competition."
Overworld,"Social, RPG, some MMOs (like KoL)","A macro representation of the game world the player can navigate to reach ""smaller"" but more detailed areas","When leaving a town, the player is taken to a smaller simplified representation of the world map instead of having to cross a to-scale physical distance between towns or other points of interest",Can be used to cross distances faster than a developer intended in order to exploit some other in-game mechanic that has to do with location,Removes some of the tedium from manually walking from place to place in a to-scale environment but at the same time promotes exploration and  a sense of scale,"Usually used because developers cannot afford to create environments for all points between points of interest, basically a cop-out solution",Not a common mechanic in multiplayer games
